Région,Préfecture,Sous-préfecture,Nom de l'Établissement (si applicable),Nombre total de personnel de l'Établissement (si applicable) ,Secteur sanitaire,Partenaire responsable de la formation,Date de la formation,Durée de la formation (jours),Type de formation,Nombre de personnes formées,Region p-code,Prefecture p-code,Subprefecture p-code
Kindia,Forecariah,Allassoyah,Feindemodia,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500301
Kindia,Forecariah,Allassoyah,Hérico,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500301
Kindia,Forecariah,Allassoyah,Safeya,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500301
Kindia,Forecariah,Benty,Centre de Santé Benty,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500302
Kindia,Forecariah,Benty,Dakhagbé,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500302
Kindia,Forecariah,Benty,Kigbaly,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500302
Kindia,Forecariah,Benty,M'Boro,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500302
Kindia,Forecariah,Benty,Morkania,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500302
Kindia,Forecariah,Benty,N'Compan,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500302
Kindia,Forecariah,Benty,Tenteyi,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500302
Kindia,Forecariah,Farmoriah,Houwourou,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500303
Kindia,Forecariah,Farmoriah,Maliguiagbé,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500303
Kindia,Forecariah,Farmoriah,Moola,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500303
Kindia,Forecariah,Farmoriah,Pamelap,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500303
Kindia,Forecariah,Forecariah Ctre,Centre de Santé Forecariah,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500304
Kindia,Forecariah,Kaback,Centre de Santé Kaback,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500305
Kindia,Forecariah,Kaback,Matakan,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500305
Kindia,Forecariah,Kaback,Yétiya,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500305
Kindia,Forecariah,Kakossa,Manéah,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500306
Kindia,Forecariah,Kakossa,Menyire,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500306
Kindia,Forecariah,Kaliah,Bérika,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500307
Kindia,Forecariah,Kaliah,Kolagbéli,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500307
Kindia,Forecariah,Kaliah,Sinkinet,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500307
Kindia,Forecariah,Kaliah,Tanah,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500307
Kindia,Forecariah,Maferinya,Centre de Santé Maferinya,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500308
Kindia,Forecariah,Maferinya,Fandié,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500308
Kindia,Forecariah,Maferinya,Gbéréiré Bafila,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500308
Kindia,Forecariah,Maferinya,Koket,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500308
Kindia,Forecariah,Maferinya,Madinagbé,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500308
Kindia,Forecariah,Maferinya,Maleah,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500308
Kindia,Forecariah,Maferinya,Moribayah,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500308
Kindia,Forecariah,Moussayah,Centre de Santé Moussayah,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500309
Kindia,Forecariah,Moussayah,Dembaya,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500309
Kindia,Forecariah,Moussayah,Kamalayah,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500309
Kindia,Forecariah,Moussayah,Layah,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500309
Kindia,Forecariah,Moussayah,Sineyah,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500309
Kindia,Forecariah,Moussayah,Tassein,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500309
Kindia,Forecariah,Sikhourou,Centre de Santé Sikhourou,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500310
Kindia,Forecariah,Sikhourou,Daffira,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500310
Kindia,Forecariah,Sikhourou,Dallonyah,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500310
Kindia,Forecariah,Sikhourou,Dégui-Dégui,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500310
Labe,Labe,Dalein,Dalein Centre de Santé,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600201
Labe,Labe,Dalein,Dalein Centre de Santé,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600201
Labe,Labe,Dalein,Ndantawi,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600201
Labe,Labe,Dalein,Sarékaly,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600201
Labe,Labe,Daralabe,"Cantre de Santé Dara-Labe, Kassagui",,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600202
Labe,Labe,Daralabe,Darakehioun,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600202
Labe,Labe,Daralabe,Daralabé Centre de Santé,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600202
Labe,Labe,Daralabe,Daralabé Centre de Santé,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600202
Labe,Labe,Daralabe,Kokoulo,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600202
Labe,Labe,Diari,Diari Centre de Santé,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600203
Labe,Labe,Diari,Diari Centre de Santé,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600203
Labe,Labe,Diari,Donta,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600203
Labe,Labe,Diari,k. Maoudé,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600203
Labe,Labe,Diari,k.Tokossèrè,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600203
Labe,Labe,Dionfo,Dionfo Centre de Santé,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600204
Labe,Labe,Dionfo,Dionfo Centre de Santé,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600204
Labe,Labe,Dionfo,Sengouma,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600204
Labe,Labe,Dionfo,Tarambaly,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600204
Labe,Labe,Garambe,Garambé Centre de Santé,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600205
Labe,Labe,Garambe,Garambé Centre de Santé,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600205
Labe,Labe,Garambe,Labé Dheppèrè,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600205
Labe,Labe,Garambe,Ndounsy,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600205
Labe,Labe,Hafia,Afia,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600206
Labe,Labe,Hafia,Afia,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600206
Labe,Labe,Hafia,Bagnan,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600206
Labe,Labe,Hafia,Hansaghèrè ((en chantier)),,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600206
Labe,Labe,Hafia,Sempeten,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600206
Labe,Labe,Kaalan,Kalan Centre de Santé,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600207
Labe,Labe,Kaalan,Kalan Centre de Santé,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600207
Labe,Labe,Kaalan,Missidé -Tiga,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600207
Labe,Labe,Kaalan,Tounory,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600207
Labe,Labe,Kouramangui,Kouramangui Cité Centre de Santé,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600208
Labe,Labe,Kouramangui,Kouramangui Cité Centre de Santé,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600208
Labe,Labe,Labe Ctre,Centre de Santé Bowounloko,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Centre de Santé Bowounloko,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Centre de Santé Daka,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Centre de Santé Daka,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Centre de Santé Fafabhè,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Centre de Santé Fafabhè,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Centre de Santé Ley-Saré,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Centre de Santé Ley-Saré,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Fadi,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Hopital Régional Labe,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Koulidara,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Lombonna,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Lombonna,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Pellel Centre de Santé,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600209
Labe,Labe,Labe Ctre,Pellel Centre de Santé,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600209
Labe,Labe,Noussy,Diawoya,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600210
Labe,Labe,Noussy,Noussy Centre de Santé,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600210
Labe,Labe,Noussy,Noussy Centre de Santé,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600210
Labe,Labe,Popodara,"Centre de Santé Popodara, Hamdallaye",,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600211
Labe,Labe,Popodara,Douka Seleyabhe,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600211
Labe,Labe,Popodara,Nadhel,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600211
Labe,Labe,Popodara,Popodara,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600211
Labe,Labe,Popodara,Popodara,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600211
Labe,Labe,Popodara,Sala,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600211
Labe,Labe,Popodara,Satina,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600211
Labe,Labe,Popodara,Serima,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600211
Labe,Labe,Sannou,Diogoma,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600212
Labe,Labe,Sannou,Hamdallaye,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600212
Labe,Labe,Sannou,Sannou Centre de Santé,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600212
Labe,Labe,Sannou,Sannou Centre de Santé,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600212
Labe,Labe,Tountourou,Nhagnaka,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600213
Labe,Labe,Tountourou,Nhagnaka,,public,ACF,,,WASH,,GIN006,GIN006002,GIN00600213
Labe,Labe,Tountourou,Tountouroun Centre de Santé,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600213
Labe,Labe,Tountourou,Tôlon,,public,ACF,,,PCI Ebola,,GIN006,GIN006002,GIN00600213
Conakry,Conakry,Dixinn,Clinique Stade,,prive,CRS,Oui,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,,Association pour le developpement medical et communautaire de Guinee,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,CLS,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Cabinet Saint Andre,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Cabinet Votre Famille,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Fowler,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Amitie,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Benjelo,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Espoir des enfants,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Fofana,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Fraternite Medicale de Guinee,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Kamilia,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Marie Therese,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Papa Gabriel,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Saint Jean,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Wassa-Wassa,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Dr Sow,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre pharmacope de Yimbaya,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Abidessa,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Association de survie D'Enfant,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Bomboli,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Bon Samaritin,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique CNT,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Jebace,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Jeubagui,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Jour Dain,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Laveran,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Luice,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Makoubou,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Marcel Loua,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique N'ko,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique N'ko,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique N'ko,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique N'ko,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique N'ko,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique N'ko,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Odamas,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Odamas,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Odamas,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Odamas,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Odamas,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Odamas,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Papa Gabriel,,prive,CRS,,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Papa Gabriel,,prive,CRS,,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Papa Gabriel,,prive,CRS,,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Papa Gabriel,,prive,CRS,,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Papa Gabriel,,prive,CRS,,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Papa Gabriel,,prive,CRS,,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Saint Marc,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Saint Françoise,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Samadou,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Sandiya,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Toupou,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Yakonan,,prive,CRS,,,,,GIN002,GIN002001,
Conakry,Conakry,,Clinique de Seminaire,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique la Sabine,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,ONG AGUIDEA (Association Guineenne pour le Developpement de la Sante),,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,ONG Aide à La Jeunesse Africaine,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Pharmacie Kesso,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Pharmacie Saint Etienne,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Pharmacie des Jardins,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Saint Free Prosper,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,centre Medical Galapo,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,clinique Privee Elhadj Ibrahim,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,clinique Sabine,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,Dixinn,AGBEF Camayenne,,public,CRS,oui,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,Dixinn,CMC Minière,,public,CRS,Oui,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,Dixinn,Cabmed Yasmin Dr Zaitouni Abdou BARRY,,prive,CRS,Oui,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,Dixinn,Centre De Santé Dixinn,,public,CRS,Oui,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,Dixinn,Centre De Santé Maciré,,public,CRS,Oui,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,Dixinn,Centre Medical kinsi,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,Dixinn,Centre Médical du Stade,,prive,CRS,Oui,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,Dixinn,Centre National de Transfusion de Sang,,public,CRS,oui,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,Dixinn,Clinique Dixinn Gare Rail,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,Dixinn,Clinique Ambroise Paré,,public,CRS,Oui,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,Dixinn,Clinique Bel Air,,prive,CRS,Oui,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,Dixinn,Clinique Dixinn,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,GIN00200101
